,0,1
0,2020-02-28 00:16:38+00:00,Your the best thing that came in my life I mean it Baby you complete my world I can never leave you ..
1,2020-02-17 18:52:35+00:00,You with me is where you belong my only star
2,2020-02-17 01:08:57+00:00,I’m gonna be by your side no matter what
3,2020-02-13 06:24:25+00:00,I want someone that goin match my loyalty so we can flex on everyone and get this bag 2020
4,2020-01-31 22:31:44+00:00,"Hard words hurt your feelings, but silence breaks your heart. "
5,2020-01-31 22:31:26+00:00,"i believe that, whoever is meant to be in your life will always gravitate back towards you, regardless of how far they try to run away"
6,2020-01-31 02:10:02+00:00,"i truly appreciate kindness. i appreciate people checking up on me. i appreciate a quick message, i appreciate those who ask if i’m okay, i appreciate every single person in my life who has tried to brighten my days. it’s the little things that matter the most"
7,2020-01-30 09:23:27+00:00,I feel like people will care more when I’m gone
8,2020-01-29 23:11:29+00:00,Idk where my head at anymore... one minute I’m happy and the next I feel broken
9,2020-01-28 19:41:57+00:00,Do you want forever..
10,2020-01-28 19:41:45+00:00,"If perfect to you is not arguing, disagreeing, falling out of love only to fall back in it, petty arguments and bad days then leave her alone."
11,2020-01-28 19:41:31+00:00,When things not new no more and the butterflies go away will you go to the next new thing or are you willing to create another spark
12,2020-01-28 19:41:16+00:00,Do you want a couple of good years wit her or do you want forever ? If you want a couple good ones gone bout yo business
13,2020-01-28 19:41:06+00:00,Can you handle the attention she gets from people who are irrelevant
14,2020-01-28 19:40:57+00:00,Are you hittin her up cause you want her attention or do you wanna just add her to your list of people you fucked
15,2020-01-28 19:40:47+00:00,Before you hit her up ask yourself this
16,2020-01-27 23:54:29+00:00,I hate these type of ppl that say they want you but they actions show something different... 
17,2020-01-27 23:53:56+00:00,"Everytime I like somebody they’re either stuck on a ex, Attached to somebody, confused, don’t know wat they want, or on games. "
18,2020-01-27 23:53:28+00:00,"You’re in a relationship to be happy, to smile, laugh, and to make good memories. Not to be constantly upset, to feel hurt, and to cry. Choose the relationship that’s goin to lead to growth within yourselves and your love for another. "
19,2020-01-26 22:17:01+00:00,Like if you ever been heartbroken.
20,2020-01-25 01:10:08+00:00,The difference between me and everyone else is that I’ll be there for you regardless even when Ik I shouldn’t be. 
21,2020-01-25 01:08:07+00:00,"If he’s not changing his ways for you , you’re not the girl he wanna be with .."
22,2020-01-24 23:16:14+00:00,"3 Things To Remember: • if they miss you, they’ll call you. • if they want you, they’ll say it. • if they care they’ll show it."
23,2020-01-24 23:15:37+00:00,like if you’re a lil ugly.
24,2020-01-23 21:19:40+00:00,People with a good heart are always unlucky in a relationship
25,2020-01-23 00:09:26+00:00,"Tryna be a husband, fuck a bf"
26,2020-01-23 00:09:13+00:00,"Tryna be a wife, fuck a gf"
27,2020-01-23 00:08:40+00:00,"I don’t wanna be with nobodyyy, but YOU "
28,2020-01-23 00:08:26+00:00,"Sorry, but I ain’t cheating on mines "
29,2020-01-23 00:08:08+00:00,We not breaking up... You finna put up with my shit & stfu
30,2020-01-22 23:55:06+00:00,"i ain’t forcing shit no more , ima tell you one more time how i feel , fix it or get away from me . simple"
31,2020-01-21 23:09:43+00:00,The hardest question to answer is ~ why do I still have feelings for you?
32,2020-01-21 20:23:21+00:00,I’ll give you the world while mine is falling apart..
33,2020-01-20 23:34:51+00:00,You ever notice someone slowly losing interest in you and you’re just like : 
34,2020-01-19 21:10:27+00:00,"Just for once , I want someone to be afraid of losing me "
35,2020-01-19 01:50:16+00:00,This is how I want my relationship to go First meet 3 months 6 months 9 months 1 year 5 years 10 years 20 years 50 years Heaven 
36,2020-01-19 01:46:53+00:00,Have you ever been homesick... But from a person... missing someone too much is a thing 
37,2020-01-19 01:45:20+00:00,How long has you and your Bae been together ? : 1-4 Weeks : 1 month+ : 3-4 months : 5-6 months : 7-8months+ : 1-2 years : 3+ years
38,2020-01-19 01:40:23+00:00,Like if you miss someone right now. 
39,2020-01-19 01:40:01+00:00,"Slowly, I forgot you. First your voice, then your face, but I never expected the hardest thing to forget was the happiness you made me feel once upon a time."
40,2020-01-16 18:37:56+00:00,I am so grateful for you for being in my life and for showing me so much love ... i truly love you 
41,2020-01-16 18:36:25+00:00,Give your girl hugs from the back while kissing her neck and watch how she reacts 
42,2020-01-16 18:36:02+00:00,"You’re literally all I need and all I care abt, you’re my happiness "
43,2020-01-16 03:41:25+00:00,You know you’re in “Love “ with someone when you think of them before going to sleep 
44,2020-01-16 01:59:54+00:00,Like this if you don’t want to go to school. 
45,2020-01-16 01:54:42+00:00,"I’m dying to speak to you, but you don’t care."
46,2020-01-16 01:53:31+00:00,"I admit it, I do be tripping sometimes but It’s Bc I care "
47,2020-01-15 00:19:58+00:00,I grew up exposed to so much pain; so sorry if I seem heartless...
48,2020-01-15 00:19:38+00:00,My girl is only for me she curves any and everybody that comes her way and she’s only entertaining me and I never have to worry about her cheating I love this girl so much 
49,2020-01-15 00:19:23+00:00,"you’re not sensitive, you’re not overreacting. If it hurts you, it hurts you."
50,2020-01-14 01:43:07+00:00,I’m trying to forgot you but I’m also waiting for you to come back 
51,2020-01-14 01:40:37+00:00,I pretend to look around but I’m actually looking for you 
52,2020-01-14 00:26:20+00:00,"I saw a post today that said “just because I don’t talk to you or text you first, doesn’t mean that I don’t miss you, I’m just waiting for you to miss me.” I felt that"
53,2020-01-12 23:16:25+00:00,Only one name in my phone that’s gets me excited 
54,2020-01-12 23:14:22+00:00,MENTAL HEALTH CHECK IN : I’m Amazing : Pretty Good : Good : I’m Okay : I’m coming back : It’s tough : It’s awful : I’m completely lost and Broken inside : I am having Suicidal Thoughts
55,2020-01-12 23:12:24+00:00,"For you, I’ll do anything for all I want to do is make you happy that’s the best feeling ever "
56,2020-01-12 09:56:48+00:00,"You are my happiness without you in my life, I don’t see myself as being happy "
57,2020-01-12 09:53:28+00:00,I just wanna be with you forever 
58,2020-01-11 18:27:08+00:00,I Love People Who Reply Fast That Shit Is attractive Af
